,anomalia_adda,NDVI_dora,anomalia_dora,NDVI_emiliani1,anomalia_emiliani1,NDVI_emiliani2,anomalia_emiliani2,NDVI_garda,anomalia_garda,NDVI_lambro,anomalia_lambro,NDVI_oglio,anomalia_oglio,NDVI_piemonte_nord,anomalia_piemonte_nord,NDVI_piemonte_sud,anomalia_piemonte_sud,NDVI_ticino,anomalia_ticino,Prec4w_adda,Prec8w_adda,Prec12w_adda,Prec16w_adda,Prec24w_adda,Prec1w_dora,Prec4w_dora,Prec8w_dora,Prec12w_dora,Prec16w_dora,Prec24w_dora,Prec1w_emiliani1,Prec4w_emiliani1,Prec8w_emiliani1,Prec12w_emiliani1,Prec16w_emiliani1,Prec24w_emiliani1,Prec1w_emiliani2,Prec4w_emiliani2,Prec8w_emiliani2,Prec12w_emiliani2,Prec16w_emiliani2,Prec24w_emiliani2,Prec1w_garda,Prec4w_garda,Prec8w_garda,Prec12w_garda,Prec16w_garda,Prec24w_garda,Prec1w_lambro,Prec4w_lambro,Prec8w_lambro,Prec12w_lambro,Prec16w_lambro,Prec24w_lambro,Prec1w_oglio,Prec4w_oglio,Prec8w_oglio,Prec12w_oglio,Prec16w_oglio,Prec24w_oglio,Prec1w_piemonte nord,Prec4w_piemonte nord,Prec8w_piemonte nord,Prec12w_piemonte nord,Prec16w_piemonte nord,Prec24w_piemonte nord,Prec1w_piemonte sud,Prec4w_piemonte sud,Prec8w_piemonte sud,Prec12w_piemonte sud,Prec16w_piemonte sud,Prec24w_piemonte sud,Prec1w_ticino,Prec4w_ticino,Prec8w_ticino,Prec12w_ticino,Prec16w_ticino,Prec24w_ticino,Temp4w_adda,Temp8w_adda,Temp12w_adda,Temp16w_adda,Temp24w_adda,Temp1w_dora,Temp4w_dora,Temp8w_dora,Temp12w_dora,Temp16w_dora,Temp24w_dora,Temp1w_emiliani1,Temp4w_emiliani1,Temp8w_emiliani1,Temp12w_emiliani1,Temp16w_emiliani1,Temp24w_emiliani1,Temp1w_emiliani2,Temp4w_emiliani2,Temp8w_emiliani2,Temp12w_emiliani2,Temp16w_emiliani2,Temp24w_emiliani2,Temp1w_garda,Temp4w_garda,Temp8w_garda,Temp12w_garda,Temp16w_garda,Temp24w_garda,Temp1w_lambro,Temp4w_lambro,Temp8w_lambro,Temp12w_lambro,Temp16w_lambro,Temp24w_lambro,Temp1w_oglio,Temp4w_oglio,Temp8w_oglio,Temp12w_oglio,Temp16w_oglio,Temp24w_oglio,Temp1w_piemonte nord,Temp4w_piemonte nord,Temp8w_piemonte nord,Temp12w_piemonte nord,Temp16w_piemonte nord,Temp24w_piemonte nord,Temp1w_piemonte sud,Temp4w_piemonte sud,Temp8w_piemonte sud,Temp12w_piemonte sud,Temp16w_piemonte sud,Temp24w_piemonte sud,Temp1w_ticino,Temp4w_ticino,Temp8w_ticino,Temp12w_ticino,Temp16w_ticino,Temp24w_ticino
0,-0.0403727331043274,0.3080578446388244,-0.0480059935501456,0.40623853,-0.017889939090909,0.38030404,-0.0324329431818181,0.29072273,-0.0766730172727271,0.28779897,-0.0685921572727273,0.25924245,-0.0521925436363636,0.2915007,-0.0256734522727272,0.37007156,-0.0121312322727272,0.34227398,-0.0383277245454545,0.423486031155154,0.744934017311562,0.8759446300298177,1.3917993219816622,2.685520226352773,4.106493567685028,2.2553571764645834,2.5039773100394416,2.6919643258276795,2.8437297501670833,3.05305740480146,0.4310631293469291,0.7211171203800337,0.7636835661970475,1.2308555000687509,2.646657016182448,2.9820148561741324,0.0,0.19708791502475084,0.3874862695102591,0.7861080703219815,2.129574207557304,3.169537593017336,0.028571428997176018,0.08800639789988364,0.3257196210582912,0.5150497589186204,1.3144856272632681,2.082285034582125,0.0018181818452748387,0.09474026115199964,0.2126623408312534,0.4058008718477699,1.022305210038729,2.0741558750631746,0.011047619212241398,0.0729047629911275,0.3436190527393703,0.5607777861340177,1.2754404951960203,2.4236667027821146,0.6101123686419443,0.3412520115055968,0.6376404589397854,0.7122793043537565,1.1383627777975978,1.8636369994129451,0.08831168962763503,0.07585227385755967,0.25882711424643484,0.39405438898875095,0.9207234309276404,2.0744994897869096,1.5894410174733358,1.582181700594978,1.6572593414652743,1.7162008537307354,2.129561367136663,3.543860042455662,-0.3635364825575563,-1.770898640541554,-1.6426720647326931,-0.10025329744860516,3.7505925662712407,-0.5590584290625118,-1.5131411999448914,-2.8697645462453725,-2.714220718553217,-1.7241416010728208,1.4119858991755858,5.8953320941426774,4.0353840460147605,3.1602906270364173,3.40090662387307,5.209728911792683,9.385269031640384,5.047153733341167,3.1351620178357544,1.7174546319415667,1.7482527081762531,3.4114168193532857,7.505677487912687,4.222323999440333,2.246471165139268,1.2697307818538466,1.4741079983233285,3.349105735376193,7.683044426706961,6.129895966882249,4.075707701108624,2.496301892255252,2.475582195748676,4.183522633763707,8.335431631870401,3.3218094495612958,1.506876156794883,0.23070475674810875,0.3058174534819075,1.9933511459213196,6.0774046260641805,4.039133136042573,2.3526363840115883,1.123451018227596,1.1993338415716113,2.568425905673068,6.207666394153137,6.039415449424126,4.380462564426692,3.267623709430449,3.350166997628753,4.588463777309969,7.976680016512499,1.6920962354706266,0.24798136091681194,-0.9547787053671069,-0.8087965657729189,0.5696544903728197,4.215205004126509
1,-0.0330851146178843,0.3074450343847275,-0.0504582880800764,0.41835675,-0.0084458839999999,0.39904273,-0.015238499499999999,0.30004233,-0.0684622119999999,0.2935032,-0.0636350404999999,0.2830057,-0.0374935475,0.294464,-0.0249703,0.37193537,-0.015978232,0.34692848,-0.0354016529999999,0.4621894478809482,0.5669254742863571,0.9109213386255456,1.2320749407195954,2.5973861670684584,6.356818276542156,3.4510552462299247,2.477272764186968,3.1974026450476085,3.176319040837335,3.2575081654237708,0.2792358845596099,0.4054194412571672,0.5219269180763203,1.1928917674986173,2.6105430206276963,2.566448681653918,0.0,0.0956868146126578,0.2262362671074468,0.7588553226631367,1.9084134899760383,2.9342720217460374,0.1298507482035836,0.09349680309896784,0.2679904091106389,0.4968727863663125,1.1394056672982966,1.9631219198000596,0.010389610544427665,0.06344155938691133,0.13139610585405842,0.4066666727264722,0.9659740403681604,1.9341883405099636,0.14552381169228326,0.09319047757912248,0.2859047661650748,0.5472222303764687,1.079761920851611,2.273095271966997,1.2199037099917855,0.6041733637380369,0.5457664607810289,0.8133092684060367,1.1754013016239933,1.8482143132548248,0.3021103941121853,0.13293425522762806,0.1819196455679568,0.4192302551647665,0.8288352396233346,2.009990560254223,3.3605590562874115,1.9457298426582297,1.595962756700953,1.9527950601548143,2.2270477816328027,3.5910973620001334,-0.4144526304878148,-1.3451513674490512,-1.5524158555699523,-0.7522554179683896,3.1427969018027033,-2.9271103241843734,-1.7087580786893963,-2.6591354925117403,-2.733049181335831,-2.3778307098383538,0.868279201371668,5.894709170568562,4.430626977379728,3.809420595915936,3.663781064287512,4.563567692846808,8.821845733048937,4.880846044750741,3.4658625598945703,2.474491702932558,2.083256363692001,2.8413440298976034,6.952756254850192,3.283901845575618,2.5994135879540146,1.7889631796297607,1.6232604470150973,2.670469023466015,7.033899984926492,5.777714156572308,4.324460942301803,3.2591362907889896,2.763605998834651,3.6881703721084214,7.773213029718349,2.242590426064673,1.6986190096519531,0.7343880788232422,0.4734126878311001,1.371886874097843,5.473369718930493,3.310401210115915,2.5998996208604264,1.6857764470711631,1.364521103796991,2.036145620620219,5.6814304508592475,5.3680599449495725,4.709924813556143,3.7888422448582286,3.5404395853671713,4.123461758482796,7.4760279714258875,0.35759315970903344,0.32353260146413504,-0.5258501435258363,-0.7454024160511725,-0.05800950957295167,3.6437104516830168
2,-0.0372558942811312,0.3068322241306305,-0.0661480175485514,0.43047497,-0.0154645423809523,0.41778138,-0.0135168919047619,0.30936196,-0.0744017314285714,0.29920742,-0.0692145947619047,0.30676895,-0.0283422076190475,0.29742733,-0.0325251161904762,0.37379918,-0.0339161347619046,0.351583,-0.0418917738095238,0.29503106029692644,0.30436724056027004,0.9076863489293072,0.8455163169470009,2.5925530924622784,0.13474026174804607,2.8926948482993167,1.9391234055185669,3.1368777523708262,2.758786567083149,3.2192235328186536,0.0,0.3587001714580058,0.4072674479292229,1.1197328516797824,1.8835548453429007,2.566126837795301,0.0,0.0890659353931199,0.09964285862765143,0.7577655790571547,1.0827610051453849,2.9342720217460383,0.0,0.09221748538267638,0.06023454247538978,0.4968727863663125,0.6130730368540501,1.9631219198000591,0.0,0.06344155938691133,0.048668831894053285,0.4066666727264722,0.4429220845221312,1.9341883405099636,0.0,0.0816666678835948,0.05464285795709916,0.5472222303764687,0.5872857230369533,2.273095271966997,0.0,0.5050160588896915,0.3231139695017716,0.8071829975817358,0.7867275398130413,1.8360085880863213,0.004545454613187094,0.12333604079888917,0.07625811801945137,0.4193993568988881,0.4505580424281237,2.0036052787737937,0.1523291948164657,1.4695264194131776,1.2302018816854736,1.9146480616567731,1.7953610515976843,3.580493065775864,0.5607608570312353,-0.9563509103009096,-1.5516407520676083,-1.2306861137963692,2.4565876780102402,-2.4938960481531818,-1.1086769232710871,-2.240543781088774,-2.916309458624926,-2.7705437692423507,0.2738839224496459,5.273488254221372,5.739019805277727,4.008846463551444,3.7374106307480752,4.0716402744402505,8.178864711983254,3.811043870860485,4.6306839624302105,2.774188124805249,2.1993973867370724,2.387942941130809,6.2995341998537775,3.8613005533520535,3.875484988003024,2.1120282043916374,1.7653802021895748,2.200315782375612,6.343286105551259,4.894960929550133,5.501259617297003,3.6242921267829638,2.9615713623751483,3.2379447328210986,7.1062595814224565,2.7200189868218843,2.9457094579677854,1.1567499741446228,0.6267460177371663,0.9376321218994316,4.8093911623429975,2.5605617405197925,3.5810713485282446,2.0087880770904563,1.3829266678585748,1.613570389295046,5.0430034988370664,4.772670347867956,5.576383803929535,4.111639518487303,3.511415641210712,3.750135873970138,6.872390606671481,0.10437887965452823,1.2955783871906343,-0.19330356710789973,-0.8074055202553572,-0.5110723876449647,2.986070714829616
3,-0.0400294632536679,0.333731750647227,-0.0566932856520533,0.45651805,-0.016501958095238002,0.4467133,-0.0100252647619047,0.3348414,-0.0626937157142857,0.31646857,-0.0632940128571429,0.32642832,-0.0230695371428572,0.31246617,-0.0307023047619047,0.4102199,-0.0243240914285713,0.36334944,-0.0413334790476189,0.5279891383024338,0.4540566837846053,0.7307324125450758,0.8865489262540867,2.439751589150162,7.1000001057982445,4.424513052943368,2.8266234187433468,3.219047667015167,3.088778455117294,3.336417798634248,1.8647010244639517,0.6437500095926225,0.6403550759872167,1.0717400491927622,1.840079969279793,2.6123443080299533,2.14802201003,0.5370055025075,0.36814560988140144,0.7693864583511983,1.1441140280376385,2.8779258670602608,1.1191897821356491,0.3194029898341021,0.2001332652423459,0.4152807453495013,0.6538113103822063,1.975444236970172,0.29064935498036343,0.07571428684251648,0.08500000126659871,0.2091342022505416,0.4377272792499173,1.70654764447716,0.7872381069688571,0.2359523844683454,0.15304762132820626,0.3988095297522488,0.6078928662011666,2.214023842515336,1.888122018504392,0.9295345242845304,0.5591292218148205,0.7873996907058821,0.8264245709021655,1.6710072480139129,0.9285714424082212,0.3308847451903072,0.19232954832047905,0.3158820393390437,0.4505123849599109,1.6997159344186497,3.4116460135704063,2.128493820536905,1.6566576333817744,1.8820781853950463,1.8760190496939924,3.4455681155251594,0.3317391230198352,-0.6091284801737372,-1.3742378057223144,-1.3428512898607106,1.8907323593951524,-1.6949350270503143,-1.9187499571125957,-2.250105469186742,-2.8809550221857214,-2.8370494495740144,-0.21862147779741167,8.091918423782687,6.2888619856788255,4.626557205558487,4.045861620531398,4.061822998912176,7.6375102113481415,6.165186675384151,4.976057581084137,3.392807616472531,2.5326015917435902,2.380032913835085,5.782993002608162,5.482174717549131,4.212425278979284,2.66702819198642,2.021288156668592,2.0956449424977035,5.741517284602409,7.408675159078527,6.0528115530208035,4.371512889302058,3.3638375871500314,3.231063239468419,6.609520415036267,4.179999906569718,3.116104692254393,1.6837356766512883,0.9098412495047328,0.8723261709781808,4.250956254190071,4.416404395667691,3.5816251205864926,2.3947571695869696,1.6282262878438658,1.5925802212248872,4.551589652143122,6.295543690452463,5.6189223581735295,4.437311183285897,3.7508278382403852,3.7064173278694015,6.426156850411817,1.4437577317046544,0.8994565016347107,0.054039206866663865,-0.6450763313371137,-0.6011801107861795,2.4406993502080225
4,-0.0445337978413954,0.3606312771638234,-0.0573308245082954,0.48256114,-0.0148917199999999,0.47564518,-0.0101368828571427,0.36032087,-0.0545397447619048,0.3337297,-0.0635004023809523,0.3460877,-0.0251999157142857,0.32750505,-0.0349729866666666,0.4466406,-0.0154868990476189,0.37511587,-0.0461344757142857,0.5596273375316436,0.4915566843433988,0.6831651240515891,0.7968653069052742,1.9583980623086987,0.4775974097141586,3.517289013450651,2.8863230949576173,2.841747877843177,2.8982954977334225,3.0961986392105474,0.0,0.5359842272558903,0.628550673817962,0.6877837865499951,1.0571376818655356,2.4676114708788033,0.0,0.5370055025075,0.36704670876612544,0.4373260138426727,0.7238324283683611,2.615178610397769,0.0,0.3122601325848081,0.20013326524234587,0.32123312490046346,0.4643523523351673,1.6629086957103292,0.0,0.07525974138119777,0.08500000126659871,0.16686147434790152,0.3231655892311269,1.506883139337425,0.012761904952071964,0.23638095590330305,0.1546428594472153,0.3078730204606812,0.4796785785763391,1.8340397098690036,0.017656501065670592,0.7814205573904619,0.5613362844480294,0.6855671584233444,0.7295646176129329,1.4714352814231513,0.0,0.30880682278339844,0.19232954832047905,0.2754870170920893,0.3727424974374128,1.5821496447879877,0.7549689553492926,1.919875805005894,1.7510287528004358,1.7447981626454807,1.7671195915495246,2.806644710559324,1.3654269881138683,0.500945252778156,-0.7254567643230798,-0.8906473015210525,1.5682258966244376,3.389188235934049,-0.9316882908634556,-1.2224147454041734,-2.2237391277847327,-2.2685876116307764,-0.4546387885393297,9.130381855720724,7.097624426073335,5.566504236044048,4.47273522671539,4.325086074423136,7.16183400381865,8.69303277272854,5.887527340930978,4.511344679383368,3.1074788682713703,2.7830713663649345,5.390890905145222,7.983198115804683,5.152643808070371,3.69955748660482,2.564035123926021,2.3937419507600888,5.3037809759786185,9.86025951986576,6.9854024412666815,5.530555071187654,3.992668741925729,3.6030372571281784,6.235484709110903,7.224933171843491,4.091885622824941,2.7993808898099117,1.5177650454403864,1.252334495817666,3.877007849850056,8.32886016696548,4.65405687831722,3.5033466311644035,2.3003196382574704,2.063014600758013,4.26149468805475,9.200308235915523,6.409145554796377,5.394804059611535,4.314797657885759,4.11491163692066,6.124963675325827,5.726195524183468,1.9079813238129208,1.0779813423648663,-0.0005253623070976173,-0.12960209337645925,2.1303350973108355
5,-0.0490381324291228,0.3875308036804199,-0.0579683633645375,0.5086042000000001,-0.013281519047619,0.5045771,-0.0102484576190476,0.3858003,-0.0463858138095237,0.35099086,-0.0637067638095237,0.36574706,-0.0273303128571428,0.3425439,-0.0392437047619047,0.48306134,-0.0066496685714286,0.3868823,-0.0509354747619046,0.44988354707645795,0.4560364974787031,0.5279114985497241,0.7956618907382735,1.6344461941274029,1.0535714442708666,2.191477305382829,2.8212662758063773,2.3820076112522544,2.9459213101314132,2.934564437667811,0.01802325608252093,0.470681070136618,0.4380502556968926,0.5048449687630862,1.012339093158117,2.391099149694384,0.0,0.5370055025075,0.3163461585600789,0.3298260122407979,0.7033928676242275,2.4424084613031467,0.0,0.2797974455339122,0.18664712431644004,0.2719260879183967,0.4426039511582123,1.5179104703798216,0.0,0.07266233874509086,0.0680519490660011,0.11181818348440258,0.3231655892311268,1.3997943931529335,0.026285714677401963,0.20657143164958272,0.14988095461435258,0.2594603213265774,0.4620595306947473,1.6268651036072583,0.10979133389926073,0.5038924633673307,0.5540329135526838,0.5318084616431294,0.7359550671463602,1.3496789928244646,0.23019480862497516,0.2908279264115959,0.211881090819612,0.21822240584916974,0.3871296729764737,1.4708908498400592,1.6683230062264092,1.4968167924906433,1.7212733175744366,1.5629141019641828,1.838800493238772,2.410597862007663,2.6648679528579184,1.1252076611850519,-0.008478260680061226,-0.4980949034629845,1.3098854520882377,1.798636323433708,0.24974837104106504,-0.7295048538241656,-1.6895075379941382,-1.9873497932416069,-0.6943546922721705,8.913131030011874,7.852229890934164,6.141428434156946,5.1570236942553445,4.710893270949175,6.713105470105437,8.792131671612406,6.865348747646395,5.165605653770483,3.9381107178371706,3.2787794596805995,5.043135418412668,8.254903866661225,6.3953943133417726,4.497403950647893,3.324440224200432,2.816293913596766,4.9392154190953095,10.918233522192226,8.270532282671661,6.297496612486732,4.929601621416548,4.140337569793904,5.951335364812782,7.193199839219451,5.329537976113636,3.5140784928827946,2.266104711253373,1.6874440099017345,3.5736427772657144,8.140336896700974,5.861540799963484,4.230720210411955,3.0776978980352703,2.488776027838614,4.024854778951341,9.421639399799556,7.422540418508874,6.066232616032509,5.000074969408444,4.5109647936525965,5.878975788508068,5.152484356882686,3.1067041231063337,1.7151183622852346,0.6850012786848872,0.21762421873820406,1.8782931774785727
6,-0.048736322474858,0.441309243440628,-0.0421996589596309,0.5289537,-0.0195354599999999,0.5176583,-0.0260813123809523,0.38970467,-0.0595706052380952,0.37922195,-0.0557585114285714,0.37671679999999996,-0.0387834414285713,0.37188822,-0.0343024052380951,0.5148794,-0.0104991547619047,0.42165264,-0.0455931685714284,0.9687500144355,0.6318905373662131,0.5258281651853466,0.9229522653058554,1.6351061320254352,1.883441586507024,2.628652636572573,2.7606737424359453,2.1689664825365687,3.009821473421263,2.9919372740205685,0.9933554965297248,0.7190199442690492,0.5388600578635275,0.5111849467091649,1.0195546248270992,2.281848732784033,1.5820879356628592,0.9325274864232148,0.5107967109081674,0.3772710678928393,0.8014560558986696,2.4139927099639684,0.24690831924425255,0.3415245253449753,0.21687100536382584,0.15399787009858495,0.4580357211109781,1.4133528995254174,1.8989610672577637,0.5474026055595317,0.3054220824732215,0.21491342311587944,0.44185065593473705,1.462196991485402,0.7487619159193263,0.3937619106294143,0.23771428925650456,0.16768254218120426,0.508857150439705,1.557420658128011,1.406260053057636,0.8554574766317398,0.6802367677607156,0.500561805211761,0.8192516173442369,1.40430044896209,1.5396104125523724,0.6745941658963922,0.3989651033476407,0.27570346731176504,0.483198059148264,1.53372229017026,3.01754662881588,2.2131211509904967,1.8413237852018367,1.5578416381204814,1.9892663339902041,2.4956780910187284,3.8042002255285032,2.182480541279869,0.6304994683088946,-0.21268050766858052,1.1873647508930412,0.9154545249925412,1.1020860143274958,-0.003295454471795578,-1.1263338492833503,-1.9117105903868203,-0.8136904580030766,9.763861908006518,8.974823304380449,7.356921554829088,5.664172077161112,5.046763799156169,6.53759536882352,8.510065743851138,8.040104215894058,6.335394089162135,4.529493488501519,3.659574094026319,4.893908773396496,8.722856947886093,7.610783411975284,5.743134199989153,3.94494660691952,3.2267310046360023,4.7779743068500045,9.487246541190265,9.418603685581694,7.459931651439347,5.555729313049207,4.575829443176785,5.799812640926852,7.39939031080121,6.499380807108468,4.722545132538127,2.937626918465904,2.094904715079992,3.4566792878165606,6.625120237149765,6.877680424120978,5.229375886324611,3.631752192767296,2.7566151069241758,3.8840522138802247,7.820308266760926,8.184449898232117,6.880416851080827,5.469242978402241,4.679674205466064,5.718690348367781,4.450853937782742,4.193322887638386,2.7444506374145106,1.2689052511408625,0.4427765817180789,1.7520645312316798
7,-0.0484345125205933,0.4950876832008362,-0.0264309545547243,0.5493031,-0.0257895071428569,0.5307395,-0.0419141628571427,0.39360905,-0.0727553833333332,0.40745303,-0.0478102704761904,0.38768652,-0.0502365823809523,0.40123254,-0.029361100952381,0.5466975000000001,-0.0143486019047619,0.45642298,-0.0402508533333333,2.4058618370923703,1.4669254876974018,1.1046584015538603,1.1495147686818996,1.924521250209692,4.171753308917213,1.8965909373523155,3.1605519951478414,2.5166125916130038,2.888433484599454,3.1642992895759754,5.540116361623934,1.6378737785590447,1.1408118940758336,0.972861310177826,1.2132734815343331,2.499408259835447,8.700989140643854,2.5707692690766777,1.5538873857920892,1.1023534962798271,1.2197321610325682,2.7740751329120314,7.408102455805105,1.9137526937623397,1.1165778417982208,0.7713397414156771,0.7898987324527109,1.7220238351839636,6.843376725350883,2.185584448152161,1.1306493674973388,0.7851948168951196,0.7032467637259465,1.747337688375022,8.436762030479454,2.3061428915070628,1.2710476379877045,0.8707460447211587,0.8756428701909524,1.908952409397988,3.957784970693087,1.3728732146789135,1.151203869481722,0.8303772194361848,0.9337680716991401,1.5574705957067827,3.658685119453721,1.3571225851577673,0.8440036651740371,0.5805938939329084,0.5761921757937246,1.6466721024594042,5.629813748487034,2.7676630847196537,2.4480784526282795,2.026992783827734,2.103474410226198,2.730253663872355,4.074867921341963,2.203303522180899,0.9522036536648294,-0.01196137395624508,0.8545904312089737,-2.378344102684021,0.9312337454190692,-0.4937581058467632,-1.1896590643181382,-1.9279078302845243,-1.2262716176123378,10.08274894406821,9.472530934451832,7.880696460065327,6.241881781856267,5.402528949011507,6.320632818302023,7.448867965372955,8.36102453839126,6.668541059737698,5.048879923778776,3.9897073284055073,4.648751269718684,7.999765279613483,8.240181052491371,6.226303165735327,4.5247458121547375,3.576011380624286,4.538132450092907,8.187064752069773,9.613201083829503,7.833006318425155,6.118742287477873,4.9261784613199,5.5396925168708595,5.752552252372816,6.8925188935592425,5.004311792906816,3.41999674895394,2.40551066051836,3.1927610397473387,4.278731846577977,6.8432622868485495,5.212443703717521,3.8775922086741623,2.9319852875950367,3.5602433661152424,5.770519351538319,8.053193813503581,6.836058085838555,5.6426053933584575,4.826419332056184,5.396798445389469,2.094083804125256,4.355904405743537,2.627680453689124,1.4879942731589553,0.6051688529330492,1.4174003306374738
8,-0.0366833007524884,0.5264689922332764,-0.0210518823256568,0.5743034,-0.0205838628571428,0.5626358,-0.0337231761904762,0.4113742,-0.0653374628571428,0.45173526,-0.0196564857142856,0.40533559999999996,-0.0503844461904763,0.43760312,-0.0154483847619046,0.5905630999999999,0.0007796185714284,0.51124656,-0.0129884723809523,3.2142081224295938,1.8869177299806184,1.399107163705464,1.3159258736460904,1.5568387913146473,1.6448052193147027,2.188392889752452,2.8528409516015514,2.653679693222562,2.6784091308204965,2.8467668173119063,2.7500830974578365,2.325394552923504,1.4306893900896966,1.1941653001864758,1.0971864781433722,2.2413344741515306,4.059450609941076,3.585631921561947,2.061318712034724,1.4399084463647327,1.2244024907724913,2.106822375716444,2.595522426736,2.5626333004463397,1.4374467165155738,0.9876332769770104,0.8815831687869324,1.3554726570140363,5.542337744924929,3.5711688843833933,1.823214312882296,1.2470562956388636,1.0179383268567743,1.2892749109865846,3.2721905249499144,3.121000046506524,1.6786905012049136,1.1434285884669848,1.0111547769721418,1.4098571638656512,2.9940610397995764,2.1169743493623896,1.4491974533764258,1.0798823060861495,1.0434189561581058,1.2419743363238738,4.779545525766231,2.5520089665993253,1.430407894691362,0.9788893544134276,0.8446175044688982,1.090618252182214,3.022205013978463,3.334472099376946,2.62717395219142,2.278843201659273,2.142216646828348,2.2954322288215825,3.9273213407889536,2.646374164451411,1.6430706154484218,0.4377377619549286,0.8152891898514002,1.0427921844839865,0.3446347325565536,-0.2935267791534509,-0.7000649194172643,-1.5816456626994115,-1.247269993766364,10.745896769777259,9.876409662965964,8.487017044519652,7.003139378351354,5.823653835778034,6.302158289368339,9.010351446954596,8.440354206947774,7.163940773939376,5.821014521904836,4.440697702940472,4.6622581375486485,9.58464797339968,8.640543516890121,6.896593662480246,5.346552830033254,4.083162222167046,4.531601711077545,10.019714061756222,9.653064719302119,8.3192335802844,6.904724953892477,5.407767736269827,5.562092949270606,7.819923634734893,7.041266509282093,5.566576066053517,4.213342762967305,2.898640411400813,3.1844261192987187,6.44597096346546,6.3725399859735425,5.5132984321453815,4.459744416100784,3.318374725186489,3.550050081163839,7.219991721737489,7.5581146849590715,6.983630119877724,6.115907601394047,5.125626914654088,5.386852558165889,4.656770082248478,4.08854804525979,2.9982646845363554,2.081503576663174,1.0217429895846242,1.3791912217606652
9,-0.0284428711543007,0.5578503012657166,-0.0178611787822512,0.5993036999999999,-0.0186812133333332,0.5945321,-0.0284619590476189,0.42913935,-0.0590474942857143,0.49601752,0.005820077142856999,0.42298466,-0.0515996604761906,0.47397372,-0.0056402890476190005,0.63442874,0.0107350042857143,0.5660702,0.011194158095238,4.64448764684801,2.5471855969622337,1.8521868806018047,1.5570555356242954,1.6704451594671417,5.254870208173798,3.2387175807281854,2.715097443055507,2.960416710780313,2.5961851036212367,3.022578508243392,2.2468438873011802,2.8825997107281687,1.6766403904323934,1.2529000740406508,1.0992836542543567,2.299242143895929,2.0649450857151344,4.1018681929907315,2.3194368477491154,1.5781868367036296,1.2728365574282812,2.0454212759003974,1.8038379799709647,3.0135927954390804,1.6466951204864966,1.1289623480239868,0.9573427647985676,1.3085021516943631,3.3301299197526726,4.403701364321561,2.238181851533326,1.5132684208178546,1.1847889786936925,1.3900433107565489,2.4619047985900013,3.729904817484674,1.9682381245671283,1.3432222422377929,1.1270714453661017,1.3759206554234502,5.454414206477746,3.453130067507012,1.9785112654371708,1.5203986315374598,1.2621388631091002,1.443104622895052,5.249594234069205,3.806858822960382,2.048843374685989,1.410207001533202,1.1153815101269728,1.2355046179775528,8.32142869542752,4.997748521677224,3.2472826570839333,2.8134317189420326,2.4216227068924434,2.5671260734498462,3.8042778652783213,3.2345729090681195,2.018231062549475,0.944710770809534,0.5766873577104468,0.8900649151704326,0.11749188049073475,0.18362012576589992,-0.44717260905253214,-1.2377576833729202,-1.5240137646369358,12.470140917283912,10.765662134783977,9.30894601285907,7.682839667699291,6.559183304387503,6.145360466184228,10.71477998028622,8.921016284116227,7.893182515881312,6.417409197219065,5.183837109406935,4.525290191892172,10.76692939686702,9.268549899441568,7.831972106391671,6.087785933579119,4.810467643010715,4.3909700511079,11.21355819091588,9.726895886483037,8.998714084577347,7.440629703818831,6.128925187683167,5.458351609598062,8.459999810904263,7.357966502203295,6.343752239158466,4.795374495989628,3.5390701589908535,3.0291753291180505,7.062889087717997,6.1031780337278,5.982359416845642,4.854872818183903,3.8340679319584026,3.3515502193620272,8.090722221755664,7.2253853904481,7.323962904478487,6.45261687417104,5.5564025746683585,5.190295473814693,4.54360238291462,3.9363275517677736,3.521515837437054,2.455521425446081,1.4978328469556088,1.1351656060970503
